Q,R,Elevation,Temperature,Moisture,Biome
-49,0,0.000,1.000,0.708,Ocean
-49,1,0.000,1.000,0.712,Ocean
-49,2,0.000,1.000,0.714,Ocean
-49,3,0.000,1.000,0.714,Ocean
-49,4,0.000,1.000,0.709,Ocean
-49,5,0.000,0.977,0.700,Ocean
-49,6,0.000,0.936,0.688,Ocean
-49,7,0.000,0.894,0.673,Ocean
-49,8,0.000,0.854,0.658,Ocean
-49,9,0.000,0.819,0.645,Ocean
-49,10,0.000,0.787,0.639,Ocean
-49,11,0.000,0.758,0.640,Ocean
-49,12,0.000,0.731,0.650,Ocean
-49,13,0.000,0.707,0.669,Ocean
-49,14,0.000,0.683,0.697,Ocean
-49,15,0.000,0.661,0.732,Ocean
-49,16,0.000,0.639,0.771,Ocean
-49,17,0.000,0.617,0.812,Ocean
-49,18,0.000,0.596,0.851,Ocean
-49,19,0.000,0.578,0.880,Ocean
-49,20,0.000,0.563,0.892,Ocean
-49,21,0.000,0.552,0.881,Ocean
-49,22,0.000,0.544,0.844,Ocean
-49,23,0.000,0.534,0.782,Ocean
-49,24,0.000,0.517,0.701,Ocean
-49,25,0.000,0.492,0.610,Ocean
-49,26,0.000,0.459,0.519,Ocean
-49,27,0.000,0.422,0.437,Ocean
-49,28,0.000,0.381,0.373,Ocean
-49,29,0.000,0.341,0.332,Ocean
-49,30,0.000,0.304,0.316,Ocean
-49,31,0.000,0.271,0.323,Ocean
-49,32,1.650,0.246,0.348,IceCap
-49,33,1.650,0.228,0.380,IceCap
-49,34,1.650,0.218,0.414,IceCap
-49,35,1.650,0.214,0.454,IceCap
-49,36,1.650,0.213,0.502,IceCap
-49,37,1.650,0.212,0.552,IceCap
-49,38,1.650,0.210,0.600,IceCap
-49,39,1.650,0.204,0.636,IceCap
-49,40,1.650,0.191,0.657,IceCap
-49,41,1.650,0.170,0.658,IceCap
-49,42,1.650,0.144,0.641,IceCap
-49,43,1.650,0.113,0.610,IceCap
-49,44,1.650,0.081,0.571,IceCap
-49,45,1.650,0.049,0.532,IceCap
-49,46,1.650,0.022,0.497,IceCap
-49,47,1.650,0.002,0.470,IceCap
-49,48,1.650,0.000,0.453,IceCap
-49,49,1.650,0.000,0.444,IceCap
-49,50,1.650,0.000,0.443,IceCap
-48,-2,0.000,0.973,0.630,Ocean
-48,-1,0.000,1.000,0.629,Ocean
-48,0,0.000,1.000,0.636,Ocean
-48,1,0.000,1.000,0.645,Ocean
-48,2,0.000,1.000,0.655,Ocean
-48,3,0.000,1.000,0.663,Ocean
-48,4,0.000,1.000,0.667,Ocean
-48,5,0.000,0.960,0.668,Ocean
-48,6,0.000,0.914,0.666,Ocean
-48,7,0.000,0.870,0.663,Ocean
-48,8,0.000,0.833,0.662,Ocean
-48,9,0.000,0.803,0.664,Ocean
-48,10,0.000,0.778,0.671,Ocean
-48,11,0.000,0.756,0.684,Ocean
-48,12,0.000,0.738,0.702,Ocean
-48,13,0.000,0.721,0.727,Ocean
-48,14,0.000,0.705,0.756,Ocean
-48,15,0.000,0.687,0.789,Ocean
-48,16,0.000,0.668,0.825,Ocean
-48,17,0.000,0.647,0.860,Ocean
-48,18,0.001,0.625,0.891,Ocean
-48,19,0.001,0.605,0.910,Ocean
-48,20,0.001,0.588,0.910,Ocean
-48,21,0.001,0.576,0.888,Ocean
-48,22,0.001,0.566,0.842,Ocean
-48,23,0.001,0.553,0.777,Ocean
-48,24,0.001,0.532,0.698,Ocean
-48,25,0.001,0.503,0.615,Ocean
-48,26,0.002,0.465,0.536,Ocean
-48,27,0.002,0.422,0.468,Ocean
-48,28,0.001,0.377,0.418,Ocean
-48,29,0.000,0.334,0.389,Ocean
-48,30,0.000,0.294,0.380,Ocean
-48,31,0.000,0.260,0.389,Ocean
-48,32,1.650,0.235,0.412,IceCap
-48,33,1.650,0.220,0.440,IceCap
-48,34,1.650,0.213,0.471,IceCap
-48,35,1.650,0.213,0.508,IceCap
-48,36,1.650,0.217,0.551,IceCap
-48,37,1.650,0.220,0.594,IceCap
-48,38,1.650,0.219,0.630,IceCap
-48,39,1.650,0.212,0.653,IceCap
-48,40,1.650,0.197,0.660,IceCap
-48,41,1.650,0.173,0.651,IceCap
-48,42,1.650,0.142,0.628,IceCap
-48,43,1.650,0.105,0.596,IceCap
-48,44,1.650,0.067,0.563,IceCap
-48,45,1.650,0.031,0.533,IceCap
-48,46,1.650,0.002,0.510,IceCap
-48,47,1.650,0.000,0.497,IceCap
-48,48,1.650,0.000,0.491,IceCap
-48,49,1.650,0.000,0.490,IceCap
-48,50,1.650,0.000,0.494,IceCap
-47,-3,0.000,0.955,0.556,Ocean
-47,-2,0.000,0.996,0.549,Ocean
-47,-1,0.000,1.000,0.554,Ocean
-47,0,0.000,1.000,0.567,Ocean
-47,1,0.000,1.000,0.583,Ocean
-47,2,0.000,1.000,0.599,Ocean
-47,3,0.000,1.000,0.614,Ocean
-47,4,0.000,0.980,0.625,Ocean
-47,5,0.000,0.932,0.635,Ocean
-47,6,0.000,0.884,0.645,Ocean
-47,7,0.000,0.842,0.656,Ocean
-47,8,0.000,0.811,0.669,Ocean
-47,9,0.000,0.788,0.684,Ocean
-47,10,0.000,0.772,0.703,Ocean
-47,11,0.000,0.759,0.723,Ocean
-47,12,0.000,0.749,0.747,Ocean
-47,13,0.000,0.740,0.772,Ocean
-47,14,0.001,0.729,0.798,Ocean
-47,15,0.000,0.715,0.826,Ocean
-47,16,0.001,0.696,0.855,Ocean
-47,17,0.002,0.673,0.883,Ocean
-47,18,0.003,0.650,0.905,Ocean
-47,19,0.001,0.628,0.913,Ocean
-47,20,0.003,0.610,0.904,Ocean
-47,21,0.003,0.595,0.875,Ocean
-47,22,0.003,0.582,0.826,Ocean
-47,23,0.004,0.564,0.764,Ocean
-47,24,0.000,0.539,0.693,Ocean
-47,25,0.007,0.505,0.622,Ocean
-47,26,0.011,0.464,0.557,Ocean
-47,27,0.009,0.418,0.504,Ocean
-47,28,0.000,0.371,0.465,Ocean
-47,29,0.005,0.326,0.444,Ocean
-47,30,0.001,0.286,0.439,Ocean
-47,31,0.002,0.254,0.448,Ocean
-47,32,1.650,0.232,0.469,IceCap
-47,33,1.650,0.220,0.496,IceCap
-47,34,1.650,0.217,0.526,IceCap
-47,35,1.650,0.222,0.560,IceCap
-47,36,1.650,0.229,0.595,IceCap
-47,37,1.650,0.235,0.627,IceCap
-47,38,1.650,0.234,0.650,IceCap
-47,39,1.650,0.226,0.659,IceCap
-47,40,1.650,0.206,0.654,IceCap
-47,41,1.650,0.177,0.637,IceCap
-47,42,1.650,0.140,0.611,IceCap
-47,43,1.650,0.097,0.582,IceCap
-47,44,1.650,0.055,0.557,IceCap
-47,45,1.650,0.018,0.538,IceCap
-47,46,1.650,0.000,0.529,IceCap
-47,47,1.650,0.000,0.526,IceCap
-47,48,1.650,0.000,0.529,IceCap
-47,49,1.650,0.000,0.533,IceCap
-47,50,1.650,0.000,0.538,IceCap
-46,-4,0.000,0.941,0.492,Ocean
-46,-3,0.000,0.977,0.477,Ocean
-46,-2,0.000,1.000,0.476,Ocean
-46,-1,0.000,1.000,0.488,Ocean
-46,0,0.000,1.000,0.507,Ocean
-46,1,0.000,1.000,0.527,Ocean
-46,2,0.000,1.000,0.546,Ocean
-46,3,0.000,0.999,0.565,Ocean
-46,4,0.000,0.948,0.585,Ocean
-46,5,0.000,0.897,0.605,Ocean
-46,6,0.000,0.851,0.627,Ocean
-46,7,0.000,0.815,0.651,Ocean
-46,8,0.000,0.792,0.676,Ocean
-46,9,0.000,0.779,0.702,Ocean
-46,10,0.000,0.771,0.728,Ocean
-46,11,0.001,0.768,0.752,Ocean
-46,12,0.001,0.765,0.775,Ocean
-46,13,0.000,0.762,0.796,Ocean
-46,14,0.003,0.754,0.816,Ocean
-46,15,0.001,0.740,0.837,Ocean
-46,16,0.006,0.720,0.858,Ocean
-46,17,0.009,0.697,0.877,Ocean
-46,18,0.011,0.672,0.890,Ocean
-46,19,0.001,0.647,0.891,Ocean
-46,20,0.000,0.624,0.876,Ocean
-46,21,0.011,0.604,0.845,Ocean
-46,22,0.001,0.586,0.800,Ocean
-46,23,0.015,0.565,0.745,Ocean
-46,24,0.020,0.537,0.687,Ocean
-46,25,0.028,0.501,0.630,Ocean
-46,26,0.035,0.458,0.579,Ocean
-46,27,0.033,0.412,0.538,Ocean
-46,28,0.003,0.366,0.509,Ocean
-46,29,0.016,0.323,0.494,Ocean
-46,30,0.012,0.285,0.492,Ocean
-46,31,0.006,0.256,0.503,Ocean
-46,32,1.650,0.237,0.525,IceCap
-46,33,1.650,0.229,0.551,IceCap
-46,34,1.650,0.230,0.577,IceCap
-46,35,1.650,0.239,0.604,IceCap
-46,36,1.650,0.248,0.629,IceCap
-46,37,0.001,0.255,0.647,Ocean
-46,38,0.000,0.253,0.656,Ocean
-46,39,1.650,0.241,0.651,IceCap
-46,40,1.650,0.217,0.636,IceCap
-46,41,1.650,0.183,0.613,IceCap
-46,42,1.650,0.141,0.588,IceCap
-46,43,1.650,0.096,0.566,IceCap
-46,44,1.650,0.052,0.550,IceCap
-46,45,1.650,0.013,0.544,IceCap
-46,46,1.650,0.000,0.546,IceCap
-46,47,1.650,0.000,0.553,IceCap
-46,48,1.650,0.000,0.560,IceCap
-46,49,1.650,0.000,0.564,IceCap
-46,50,1.650,0.000,0.566,IceCap
-45,-5,0.000,0.930,0.446,Ocean
-45,-4,0.000,0.962,0.421,Ocean
-45,-3,0.000,0.996,0.410,Ocean
-45,-2,0.000,1.000,0.414,Ocean
-45,-1,0.000,1.000,0.430,Ocean
-45,0,0.000,1.000,0.451,Ocean
-45,1,0.000,1.000,0.472,Ocean
-45,2,0.000,1.000,0.494,Ocean
-45,3,0.000,0.967,0.519,Ocean
-45,4,0.000,0.913,0.547,Ocean
-45,5,0.000,0.863,0.578,Ocean
-45,6,0.000,0.822,0.612,Ocean
-45,7,0.000,0.795,0.647,Ocean
-45,8,0.000,0.782,0.682,Ocean
-45,9,0.002,0.778,0.713,Ocean
-45,10,0.003,0.779,0.741,Ocean
-45,11,0.005,0.783,0.764,Ocean
-45,12,0.006,0.786,0.781,Ocean
-45,13,0.000,0.785,0.795,Ocean
-45,14,0.009,0.777,0.807,Ocean
-45,15,0.000,0.763,0.819,Ocean
-45,16,0.021,0.742,0.831,Ocean
-45,17,0.029,0.715,0.844,Ocean
-45,18,0.004,0.684,0.851,Ocean
-45,19,0.012,0.653,0.847,Ocean
-45,20,0.004,0.625,0.831,Ocean
-45,21,0.031,0.602,0.804,Ocean
-45,22,0.038,0.580,0.767,Ocean
-45,23,0.052,0.557,0.724,Ocean
-45,24,0.071,0.528,0.680,Ocean
-45,25,0.060,0.492,0.638,Ocean
-45,26,0.000,0.451,0.601,Ocean
-45,27,0.075,0.408,0.570,Ocean
-45,28,0.053,0.364,0.550,Ocean
-45,29,0.041,0.324,0.541,Ocean
-45,30,0.036,0.291,0.544,Ocean
-45,31,0.018,0.266,0.558,Ocean
-45,32,0.018,0.250,0.579,Ocean
-45,33,1.650,0.245,0.601,IceCap
-45,34,1.650,0.250,0.620,IceCap
-45,35,0.012,0.260,0.637,Ocean
-45,36,0.010,0.271,0.648,Ocean
-45,37,0.004,0.276,0.651,Ocean
-45,38,0.001,0.273,0.645,Ocean
-45,39,0.000,0.258,0.628,Ocean
-45,40,1.650,0.231,0.606,IceCap
-45,41,1.650,0.194,0.581,IceCap
-45,42,1.650,0.150,0.559,IceCap
-45,43,1.650,0.104,0.545,IceCap
-45,44,1.650,0.059,0.541,IceCap
-45,45,1.650,0.020,0.546,IceCap
-45,46,1.650,0.000,0.558,IceCap
-45,47,1.650,0.000,0.570,IceCap
-45,48,1.650,0.000,0.578,IceCap
-45,49,1.650,0.000,0.579,IceCap
-45,50,1.650,0.000,0.575,IceCap
-44,-6,0.000,0.917,0.423,Ocean
-44,-5,0.000,0.948,0.387,Ocean
-44,-4,0.000,0.978,0.363,Ocean
-44,-3,0.000,1.000,0.354,Ocean
-44,-2,0.000,1.000,0.359,Ocean
-44,-1,0.000,1.000,0.375,Ocean
-44,0,0.000,1.000,0.396,Ocean
-44,1,0.000,1.000,0.419,Ocean
-44,2,0.000,0.989,0.446,Ocean
-44,3,0.000,0.934,0.479,Ocean
-44,4,0.000,0.881,0.516,Ocean
-44,5,0.001,0.836,0.558,Ocean
-44,6,0.002,0.803,0.601,Ocean
-44,7,0.004,0.787,0.644,Ocean
-44,8,0.008,0.783,0.682,Ocean
-44,9,0.007,0.787,0.714,Ocean
-44,10,0.013,0.795,0.739,Ocean
-44,11,0.013,0.803,0.754,Ocean
-44,12,0.007,0.808,0.763,Ocean
-44,13,0.018,0.808,0.767,Ocean
-44,14,0.027,0.799,0.770,Ocean
-44,15,0.040,0.781,0.774,Ocean
-44,16,0.063,0.754,0.781,Ocean
-44,17,0.037,0.719,0.788,Ocean
-44,18,0.022,0.682,0.792,Ocean
-44,19,0.073,0.646,0.789,Ocean
-44,20,0.000,0.614,0.777,Ocean
-44,21,0.088,0.588,0.758,Ocean
-44,22,0.000,0.565,0.732,Ocean
-44,23,0.110,0.543,0.704,Ocean
-44,24,0.148,0.515,0.674,Ocean
-44,25,0.188,0.483,0.645,Ocean
-44,26,0.174,0.446,0.620,Ocean
-44,27,0.000,0.407,0.601,Ocean
-44,28,0.126,0.368,0.590,Ocean
-44,29,0.101,0.333,0.588,Ocean
-44,30,0.000,0.304,0.596,Ocean
-44,31,0.051,0.282,0.609,Ocean
-44,32,0.040,0.269,0.626,Ocean
-44,33,0.036,0.267,0.641,Ocean
-44,34,0.038,0.272,0.650,Ocean
-44,35,0.036,0.283,0.653,Ocean
-44,36,0.020,0.294,0.649,Ocean
-44,37,0.009,0.299,0.637,Ocean
-44,38,0.002,0.296,0.617,Ocean
-44,39,0.002,0.280,0.591,Ocean
-44,40,0.000,0.252,0.563,Ocean
-44,41,1.650,0.214,0.540,IceCap
-44,42,1.650,0.169,0.525,IceCap
-44,43,1.650,0.121,0.521,IceCap
-44,44,1.650,0.076,0.527,IceCap
-44,45,1.650,0.037,0.542,IceCap
-44,46,1.650,0.007,0.559,IceCap
-44,47,1.650,0.000,0.573,IceCap
-44,48,1.650,0.000,0.578,IceCap
-44,49,1.650,0.000,0.572,IceCap
-44,50,1.650,0.000,0.560,IceCap
-43,-7,0.000,0.899,0.420,Ocean
-43,-6,0.000,0.930,0.374,Ocean
-43,-5,0.000,0.958,0.336,Ocean
-43,-4,0.000,0.986,0.310,Ocean
-43,-3,0.000,1.000,0.299,Ocean
-43,-2,0.000,1.000,0.304,Ocean
-43,-1,0.000,1.000,0.321,Ocean
-43,0,0.000,1.000,0.345,Ocean
-43,1,0.000,1.000,0.373,Ocean
-43,2,0.000,0.961,0.407,Ocean
-43,3,0.001,0.907,0.448,Ocean
-43,4,0.003,0.858,0.494,Ocean
-43,5,0.006,0.821,0.544,Ocean
-43,6,0.011,0.798,0.593,Ocean
-43,7,0.023,0.791,0.639,Ocean
-43,8,0.031,0.796,0.676,Ocean
-43,9,0.018,0.806,0.703,Ocean
-43,10,0.032,0.817,0.719,Ocean
-43,11,0.001,0.826,0.724,Ocean
-43,12,0.034,0.831,0.721,Ocean
-43,13,0.047,0.827,0.715,Ocean
-43,14,0.070,0.813,0.710,Ocean
-43,15,0.116,0.786,0.709,Ocean
-43,16,0.041,0.750,0.713,Ocean
-43,17,0.202,0.707,0.720,Ocean
-43,18,0.172,0.664,0.725,Ocean
-43,19,0.168,0.625,0.726,Ocean
-43,20,0.200,0.593,0.722,Ocean
-43,21,0.181,0.568,0.713,Ocean
-43,22,0.195,0.547,0.700,Ocean
-43,23,0.221,0.527,0.685,Ocean
-43,24,0.299,0.504,0.668,Ocean
-43,25,0.419,0.476,0.652,Ocean
-43,26,0.000,0.445,0.639,Ocean
-43,27,0.325,0.412,0.631,Ocean
-43,28,0.289,0.379,0.629,Ocean
-43,29,0.204,0.348,0.634,Ocean
-43,30,0.160,0.322,0.643,Ocean
-43,31,0.106,0.303,0.654,Ocean
-43,32,0.082,0.292,0.663,Ocean
-43,33,0.078,0.290,0.667,Ocean
-43,34,0.080,0.295,0.663,Ocean
-43,35,0.052,0.307,0.651,Ocean
-43,36,0.034,0.320,0.631,Ocean
-43,37,0.020,0.327,0.604,Ocean
-43,38,0.000,0.323,0.573,Ocean
-43,39,0.007,0.307,0.540,Ocean
-43,40,0.002,0.278,0.512,Ocean
-43,41,1.650,0.239,0.493,IceCap
-43,42,1.650,0.194,0.486,IceCap
-43,43,1.650,0.147,0.491,IceCap
-43,44,1.650,0.103,0.507,IceCap
-43,45,1.650,0.063,0.528,IceCap
-43,46,1.650,0.032,0.547,IceCap
-43,47,1.650,0.007,0.559,IceCap
-43,48,1.650,0.000,0.558,IceCap
-43,49,1.650,0.000,0.545,IceCap
-43,50,1.650,0.000,0.524,IceCap
-42,-8,0.000,0.874,0.435,Ocean
-42,-7,0.000,0.906,0.380,Ocean
-42,-6,0.000,0.933,0.329,Ocean
-42,-5,0.000,0.959,0.287,Ocean
-42,-4,0.000,0.985,0.259,Ocean
-42,-3,0.000,1.000,0.248,Ocean
-42,-2,0.000,1.000,0.254,Ocean
-42,-1,0.000,1.000,0.274,Ocean
-42,0,0.001,1.000,0.304,Ocean
-42,1,0.000,0.991,0.338,Ocean
-42,2,0.006,0.939,0.380,Ocean
-42,3,0.010,0.890,0.429,Ocean
-42,4,0.017,0.849,0.483,Ocean
-42,5,0.031,0.821,0.538,Ocean
-42,6,0.056,0.808,0.589,Ocean
-42,7,0.094,0.808,0.631,Ocean
-42,8,0.077,0.817,0.662,Ocean
-42,9,0.085,0.829,0.678,Ocean
-42,10,0.067,0.840,0.681,Ocean
-42,11,0.064,0.847,0.674,Ocean
-42,12,0.000,0.847,0.660,Ocean
-42,13,0.109,0.836,0.646,Ocean
-42,14,0.181,0.811,0.636,Ocean
-42,15,0.216,0.774,0.633,Ocean
-42,16,0.275,0.728,0.638,Ocean
-42,17,0.392,0.680,0.647,Ocean
-42,18,0.376,0.634,0.657,Ocean
-42,19,0.055,0.596,0.665,Ocean
-42,20,0.363,0.567,0.670,Ocean
-42,21,0.363,0.545,0.671,Ocean
-42,22,0.104,0.529,0.670,Ocean
-42,23,0.430,0.514,0.666,Ocean
-42,24,0.510,0.497,0.661,Ocean
-42,25,0.538,0.477,0.658,Ocean
-42,26,0.468,0.452,0.657,Ocean
-42,27,0.424,0.425,0.660,Ocean
-42,28,0.463,0.396,0.667,Ocean
-42,29,0.269,0.369,0.676,Ocean
-42,30,0.232,0.345,0.684,Ocean
-42,31,0.204,0.326,0.688,Ocean
-42,32,0.149,0.315,0.686,Ocean
-42,33,0.126,0.314,0.676,Ocean
-42,34,0.105,0.322,0.657,Ocean
-42,35,0.083,0.336,0.629,Ocean
-42,36,0.063,0.350,0.595,Ocean
-42,37,0.042,0.358,0.556,Ocean
-42,38,0.027,0.354,0.517,Ocean
-42,39,0.001,0.336,0.482,Ocean
-42,40,0.003,0.306,0.456,Ocean
-42,41,0.003,0.267,0.442,Ocean
-42,42,1.650,0.223,0.443,IceCap
-42,43,1.650,0.177,0.457,IceCap
-42,44,1.650,0.134,0.479,IceCap
-42,45,1.650,0.094,0.503,IceCap
-42,46,1.650,0.060,0.521,IceCap
-42,47,1.650,0.031,0.527,IceCap
-42,48,1.650,0.005,0.520,IceCap
-42,49,1.650,0.000,0.500,IceCap
-42,50,1.650,0.000,0.473,IceCap
-41,-9,0.000,0.846,0.460,Ocean
-41,-8,0.000,0.876,0.401,Ocean
-41,-7,0.000,0.903,0.341,Ocean
-41,-6,0.000,0.927,0.286,Ocean
-41,-5,0.000,0.951,0.242,Ocean
-41,-4,0.000,0.977,0.213,Ocean
-41,-3,0.000,1.000,0.203,Ocean
-41,-2,0.001,1.000,0.213,Ocean
-41,-1,0.004,1.000,0.239,Ocean
-41,0,0.000,1.000,0.276,Ocean
-41,1,0.016,0.975,0.318,Ocean
-41,2,0.031,0.928,0.369,Ocean
-41,3,0.047,0.886,0.425,Ocean
-41,4,0.074,0.854,0.484,Ocean
-41,5,0.100,0.835,0.539,Ocean
-41,6,0.148,0.828,0.586,Ocean
-41,7,0.186,0.831,0.621,Ocean
-41,8,0.180,0.841,0.639,Ocean
-41,9,0.146,0.852,0.642,Ocean
-41,10,0.123,0.860,0.631,Ocean
-41,11,0.125,0.861,0.611,Ocean
-41,12,0.156,0.852,0.588,Ocean
-41,13,0.229,0.829,0.568,Ocean
-41,14,0.297,0.793,0.556,Ocean
-41,15,0.356,0.745,0.556,Ocean
-41,16,0.439,0.692,0.565,Ocean
-41,17,0.556,0.641,0.579,Ocean
-41,18,0.573,0.597,0.595,Ocean
-41,19,0.647,0.564,0.610,Ocean
-41,20,0.615,0.541,0.622,Ocean
-41,21,0.626,0.526,0.632,Ocean
-41,22,0.754,0.516,0.639,Ocean
-41,23,0.747,0.508,0.645,Ocean
-41,24,0.663,0.499,0.652,Ocean
-41,25,0.655,0.485,0.661,Ocean
-41,26,0.661,0.466,0.674,Ocean
-41,27,0.846,0.443,0.687,Ocean
-41,28,0.492,0.417,0.701,Ocean
-41,29,0.376,0.391,0.710,Ocean
-41,30,0.350,0.368,0.713,Ocean
-41,31,0.001,0.350,0.707,Ocean
-41,32,0.270,0.341,0.692,Ocean
-41,33,0.061,0.342,0.667,Ocean
-41,34,0.186,0.352,0.633,Ocean
-41,35,0.024,0.367,0.592,Ocean
-41,36,0.141,0.381,0.545,Ocean
-41,37,0.089,0.386,0.498,Ocean
-41,38,0.052,0.380,0.454,Ocean
-41,39,0.032,0.361,0.420,Ocean
-41,40,0.003,0.331,0.399,Ocean
-41,41,0.012,0.293,0.393,Ocean
-41,42,0.004,0.251,0.401,Ocean
-41,43,1.650,0.207,0.420,IceCap
-41,44,1.650,0.165,0.445,IceCap
-41,45,1.650,0.125,0.467,IceCap
-41,46,1.650,0.087,0.481,IceCap
-41,47,1.650,0.054,0.481,IceCap
-41,48,1.650,0.021,0.468,IceCap
-41,49,1.650,0.000,0.445,IceCap
-41,50,1.650,0.000,0.417,IceCap
-40,-10,0.000,0.819,0.492,Ocean
-40,-9,0.000,0.846,0.435,Ocean
-40,-8,0.000,0.869,0.372,Ocean
-40,-7,0.000,0.891,0.308,Ocean
-40,-6,0.000,0.913,0.250,Ocean
-40,-5,0.000,0.937,0.204,Ocean
-40,-4,0.000,0.963,0.176,Ocean
-40,-3,0.001,0.986,0.169,Ocean
-40,-2,0.004,1.000,0.185,Ocean
-40,-1,0.000,1.000,0.219,Ocean
-40,0,0.039,1.000,0.264,Ocean
-40,1,0.056,0.969,0.316,Ocean
-40,2,0.100,0.929,0.373,Ocean
-40,3,0.167,0.895,0.434,Ocean
-40,4,0.244,0.870,0.494,Ocean
-40,5,0.121,0.855,0.546,Ocean
-40,6,0.276,0.851,0.584,Ocean
-40,7,0.322,0.854,0.606,Ocean
-40,8,0.294,0.863,0.610,Ocean
-40,9,0.000,0.870,0.598,Ocean
-40,10,0.202,0.872,0.573,Ocean
-40,11,0.217,0.864,0.542,Ocean
-40,12,0.274,0.843,0.512,Ocean
-40,13,0.379,0.807,0.491,Ocean
-40,14,0.442,0.759,0.481,Ocean
-40,15,0.537,0.703,0.485,Ocean
-40,16,0.630,0.647,0.500,Ocean
-40,17,0.668,0.598,0.519,Ocean
-40,18,0.809,0.561,0.539,Ocean
-40,19,0.724,0.536,0.557,Ocean
-40,20,0.174,0.522,0.573,Ocean
-40,21,0.000,0.515,0.588,Ocean
-40,22,0.868,0.513,0.603,Ocean
-40,23,0.904,0.512,0.620,Ocean
-40,24,0.019,0.509,0.641,Ocean
-40,25,0.920,0.501,0.664,Ocean
-40,26,1.218,0.486,0.689,Ocean
-40,27,0.969,0.465,0.711,Ocean
-40,28,0.670,0.441,0.727,Ocean
-40,29,0.002,0.415,0.734,Ocean
-40,30,0.001,0.393,0.728,Ocean
-40,31,0.442,0.378,0.710,Ocean
-40,32,0.383,0.371,0.681,Ocean
-40,33,0.369,0.373,0.642,Ocean
-40,34,0.407,0.382,0.595,Ocean
-40,35,0.471,0.395,0.542,Ocean
-40,36,0.369,0.406,0.488,Ocean
-40,37,0.171,0.407,0.436,Ocean
-40,38,0.001,0.397,0.392,Ocean
-40,39,0.023,0.377,0.362,Ocean
-40,40,0.011,0.348,0.346,Ocean
-40,41,0.000,0.313,0.347,Ocean
-40,42,0.010,0.274,0.360,Ocean
-40,43,1.650,0.233,0.381,IceCap
-40,44,1.650,0.191,0.404,IceCap
-40,45,1.650,0.149,0.423,IceCap
-40,46,1.650,0.108,0.431,IceCap
-40,47,1.650,0.069,0.428,IceCap
-40,48,1.650,0.031,0.413,IceCap
-40,49,1.650,0.000,0.389,IceCap
-40,50,1.650,0.000,0.362,IceCap
-39,-11,0.000,0.797,0.526,Ocean
-39,-10,0.000,0.819,0.476,Ocean
-39,-9,0.000,0.837,0.416,Ocean
-39,-8,0.000,0.854,0.350,Ocean
-39,-7,0.000,0.872,0.283,Ocean
-39,-6,0.000,0.893,0.224,Ocean
-39,-5,0.000,0.919,0.178,Ocean
-39,-4,0.004,0.947,0.153,Ocean
-39,-3,0.013,0.972,0.151,Ocean
-39,-2,0.029,0.991,0.174,Ocean
-39,-1,0.042,1.000,0.217,Ocean
-39,0,0.074,1.000,0.271,Ocean
-39,1,0.127,0.973,0.330,Ocean
-39,2,0.295,0.939,0.393,Ocean
-39,3,0.381,0.911,0.456,Ocean
